title,image_url,rating,types,page,detail_url
霸王别姬 - Farewell My Concubine,https://p0.meituan.net/movie/ce4da3e03e655b5b88ed31b5cd7896cf62472.jpg@464w_644h_1e_1c,9.5,剧情爱情,1,https://ssr1.scrape.center/detail/1
这个杀手不太冷 - Léon,https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@464w_644h_1e_1c,9.5,剧情动作犯罪,1,https://ssr1.scrape.center/detail/2
肖申克的救赎 - The Shawshank Redemption,https://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c,9.5,剧情犯罪,1,https://ssr1.scrape.center/detail/3
泰坦尼克号 - Titanic,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@464w_644h_1e_1c,9.5,剧情爱情灾难,1,https://ssr1.scrape.center/detail/4
罗马假日 - Roman Holiday,https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@464w_644h_1e_1c,9.5,剧情喜剧爱情,1,https://ssr1.scrape.center/detail/5
唐伯虎点秋香 - Flirting Scholar,https://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c,9.5,喜剧爱情古装,1,https://ssr1.scrape.center/detail/6
乱世佳人 - Gone with the Wind,https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@464w_644h_1e_1c,9.5,剧情爱情历史战争,1,https://ssr1.scrape.center/detail/7
喜剧之王 - The King of Comedy,https://p0.meituan.net/movie/1f0d671f6a37f9d7b015e4682b8b113e174332.jpg@464w_644h_1e_1c,9.5,剧情喜剧爱情,1,https://ssr1.scrape.center/detail/8
楚门的世界 - The Truman Show,https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@464w_644h_1e_1c,9.0,剧情科幻,1,https://ssr1.scrape.center/detail/9
狮子王 - The Lion King,https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@464w_644h_1e_1c,9.0,动画歌舞冒险,1,https://ssr1.scrape.center/detail/10
V字仇杀队 - V for Vendetta,https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg@464w_644h_1e_1c,8.9,剧情动作科幻惊悚,2,https://ssr1.scrape.center/detail/11
少年派的奇幻漂流 - Life of Pi,https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@464w_644h_1e_1c,8.9,剧情奇幻冒险,2,https://ssr1.scrape.center/detail/12
美丽心灵 - A Beautiful Mind,https://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg@464w_644h_1e_1c,8.8,剧情传记,2,https://ssr1.scrape.center/detail/13
初恋这件小事 - สิ่งเล็กเล็กที่เรียกว่า...รัก,https://p1.meituan.net/movie/05bc2f0ccf97aacfa64fcac4f237cf8082385.jpg@464w_644h_1e_1c,8.9,喜剧爱情,2,https://ssr1.scrape.center/detail/14
借东西的小人阿莉埃蒂 - 借りぐらしのアリエッティ,https://p1.meituan.net/movie/640cc32445df972b066c9a04b194da141104515.jpg@464w_644h_1e_1c,8.8,动画奇幻冒险,2,https://ssr1.scrape.center/detail/15
一一 - Yi yi: A One and a Two,https://p0.meituan.net/movie/6cb23356f9d8e0b506349561c633310d102189.jpg@464w_644h_1e_1c,8.8,剧情爱情家庭,2,https://ssr1.scrape.center/detail/16
美丽人生 - La vita è bella,https://p1.meituan.net/movie/580d81a2c78bf204f45323ddb4244b6c6821175.jpg@464w_644h_1e_1c,9.1,战争剧情爱情,2,https://ssr1.scrape.center/detail/17
海上钢琴师 - La leggenda del pianista sull'oceano,https://p0.meituan.net/movie/609e45bd40346eb8b927381be8fb27a61760914.jpg@464w_644h_1e_1c,9.1,剧情爱情音乐,2,https://ssr1.scrape.center/detail/18
千与千寻 - 千と千尋の神隠し,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@464w_644h_1e_1c,9.1,动画冒险奇幻家庭,2,https://ssr1.scrape.center/detail/19
迁徙的鸟 - The Travelling Birds,https://p1.meituan.net/movie/a1634f4e49c8517ae0a3e4adcac6b0dc43994.jpg@464w_644h_1e_1c,9.1,纪录片,2,https://ssr1.scrape.center/detail/20
"黄金三镖客 - Il buono, il brutto, il cattivo.",https://p0.meituan.net/movie/cd18ed2c5cda9e71e17e5e6ef61ced172912303.jpg@464w_644h_1e_1c,9.1,西部冒险,3,https://ssr1.scrape.center/detail/21
海洋 - Océans,https://p1.meituan.net/movie/a19a7f64a10e133b68de87d2f3bc46f3111417.jpg@464w_644h_1e_1c,9.1,纪录片,3,https://ssr1.scrape.center/detail/22
我爱你 - 그대를 사랑합니다,https://p1.meituan.net/movie/ed50b58bf636d207c56989872a91f4cf305138.jpg@464w_644h_1e_1c,9.1,剧情爱情,3,https://ssr1.scrape.center/detail/23
阿飞正传 - Days of Being Wild,https://p0.meituan.net/movie/85215b28d568ea8e2c97766edd95f890210522.jpg@464w_644h_1e_1c,9.1,剧情爱情犯罪,3,https://ssr1.scrape.center/detail/24
7号房的礼物 - 7번방의 선물,https://p1.meituan.net/movie/a53a0200eba15ba483c905c872db9bf4331099.jpg@464w_644h_1e_1c,8.8,剧情喜剧家庭,3,https://ssr1.scrape.center/detail/36
爱·回家 - 집으로...,https://p0.meituan.net/movie/de1142a5dceb901eb939eb0bcfc2f88470909.jpg@464w_644h_1e_1c,9.1,剧情家庭,3,https://ssr1.scrape.center/detail/25
龙猫 - となりのトトロ,https://p0.meituan.net/movie/c304c687e287c7c2f9e22cf78257872d277201.jpg@464w_644h_1e_1c,9.1,动画冒险奇幻家庭,3,https://ssr1.scrape.center/detail/26
七武士 - 七人の侍,https://p1.meituan.net/movie/4ffca83fd972f71e291f8ea8d78a4b58594878.jpg@464w_644h_1e_1c,8.8,剧情动作冒险,3,https://ssr1.scrape.center/detail/27
美国往事 - Once Upon a Time in America,https://p1.meituan.net/movie/92198a6fc8c3f5d13aa1bdf203572c0f99438.jpg@464w_644h_1e_1c,8.8,剧情犯罪,3,https://ssr1.scrape.center/detail/28
完美的世界 - A Perfect World,https://p1.meituan.net/movie/30310858fdab34c7a17cfd7ec8ad8bfc112201.jpg@464w_644h_1e_1c,8.8,剧情犯罪,3,https://ssr1.scrape.center/detail/29
上帝之城 - Cidade de Deus,https://p1.meituan.net/movie/b553d13f30100db731ab6cf45668e52d94703.jpg@464w_644h_1e_1c,8.8,剧情犯罪,4,https://ssr1.scrape.center/detail/30
辩护人 - 변호인,https://p0.meituan.net/movie/1433d81b10d116239dbbf02a06ac3c19265682.jpg@464w_644h_1e_1c,8.8,剧情,4,https://ssr1.scrape.center/detail/31
忠犬八公物语 - ハチ公物語,https://p0.meituan.net/movie/2d42e00d7ee59ff5bd574f93b8558aa726665.jpg@464w_644h_1e_1c,8.8,剧情,4,https://ssr1.scrape.center/detail/32
海豚湾 - The Cove,https://p0.meituan.net/movie/eb2ea56996f21e7fb47b1a0736c7f177258901.jpg@464w_644h_1e_1c,8.8,纪录片,4,https://ssr1.scrape.center/detail/33
英雄本色 - A Better Tomorrow,https://p0.meituan.net/movie/3e5f5f3aa4b7e5576521e26c2c7c894d253975.jpg@464w_644h_1e_1c,8.8,剧情动作犯罪,4,https://ssr1.scrape.center/detail/34
恐怖直播 - 더 테러 라이브,https://p0.meituan.net/movie/1da0af2570fe697d38c4a37fdfded19b254936.jpg@464w_644h_1e_1c,8.8,剧情悬疑犯罪,4,https://ssr1.scrape.center/detail/35
窃听风暴 - Das Leben der Anderen,https://p0.meituan.net/movie/3985eaf3858bea0f2a3d966bf7ee2103178217.jpg@464w_644h_1e_1c,8.8,剧情悬疑,4,https://ssr1.scrape.center/detail/37
时空恋旅人 - About Time,https://p0.meituan.net/movie/6d8491386d07cda91967a6fbbd0d0788294693.jpg@464w_644h_1e_1c,8.8,喜剧爱情奇幻,4,https://ssr1.scrape.center/detail/38
穿条纹睡衣的男孩 - The Boy in the Striped Pajamas,https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@464w_644h_1e_1c,8.8,剧情战争,4,https://ssr1.scrape.center/detail/39
教父 - The Godfather,https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@464w_644h_1e_1c,8.8,剧情犯罪,4,https://ssr1.scrape.center/detail/40
萤火之森 - 蛍火の杜へ,https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@464w_644h_1e_1c,8.8,剧情爱情动画奇幻,5,https://ssr1.scrape.center/detail/41
素媛 - 소원,https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@464w_644h_1e_1c,8.8,剧情,5,https://ssr1.scrape.center/detail/42
小鞋子 - بچههای آسمان,https://p1.meituan.net/movie/135c612860fae899df2220149664d97a173555.jpg@464w_644h_1e_1c,8.8,剧情家庭,5,https://ssr1.scrape.center/detail/43
